_id,AREA_NAME,HOOD_ID,year,ASSAULT_RATE,AUTOTHEFT_RATE,BIKETHEFT_RATE,BREAKENTER_RATE,HOMICIDE_RATE,ROBBERY_RATE,SHOOTING_RATE,THEFTFROMMV_RATE,THEFTOVER_RATE,population
122,Yorkdale-Glen Park,31,2015,949.2793579,367.2394714,103.9356995,394.955658,6.929046631,145.5099792,20.78713989,526.6075439,103.9356995,1443.2000323179047
122,Yorkdale-Glen Park,31,2016,1210.402588,283.5800171,76.08244324,456.4946594,6.916585922,165.9980621,6.916585922,435.7449036,179.8312378,1445.799949000109
122,Yorkdale-Glen Park,31,2017,1080.899658,349.1104431,80.56394958,389.3924255,6.713662148,228.2645111,40.28197479,516.9520264,154.4142303,1489.4999624470229
122,Yorkdale-Glen Park,31,2018,1143.822754,409.4365234,97.48488617,415.9355164,12.99798489,305.4526672,64.9899292,630.4022827,129.9798584,1538.6999374205488
122,Yorkdale-Glen Park,31,2019,1302.066895,391.8842163,126.4142609,549.9020386,6.320713043,265.4699402,107.4521179,543.5812988,189.6213837,1582.0999734426089
122,Yorkdale-Glen Park,31,2020,971.3543091,544.4533691,204.1700134,464.0227661,6.186970234,247.4788055,92.80455017,791.9321899,111.3654633,1616.3000310923312
122,Yorkdale-Glen Park,31,2021,986.7819824,578.668457,176.6461639,383.7485657,6.091247082,103.5511932,54.8212204,682.2196655,127.9161835,1641.7000197550426
122,Yorkdale-Glen Park,31,2022,1073.409302,1150.933228,104.2994553,351.8396912,5.963384628,190.8283081,41.74369431,753.273844,238.5353851,1676.8999454785794
122,Yorkdale-Glen Park,31,2023,1199.443726,1153.088379,75.32738495,892.3397827,NA,428.7866516,NA,683.7408447,254.9542236,1725.8000147311623
123,Brookhaven-Amesbury,30,2014,472.6206055,211.8644104,10.86484146,124.9456787,5.432420731,173.8374634,10.86484146,184.702301,27.16210365,1840.7999775625526
123,Brookhaven-Amesbury,30,2015,551.4304199,229.3077087,32.75824356,240.2271271,0,109.1941452,10.91941452,278.4450684,43.67765808,1831.6000778179052
123,Brookhaven-Amesbury,30,2016,661.6722412,164.0509644,21.87346268,169.5193329,5.468365669,180.4560547,16.40509605,147.645874,5.468365669,1828.699958465176
123,Brookhaven-Amesbury,30,2017,662.1079102,130.2507324,37.98979568,173.6676483,0,113.9693909,37.98979568,179.0947571,37.98979568,1842.5999466332912
123,Brookhaven-Amesbury,30,2018,563.6070557,257.6489563,32.20611954,177.1336517,0,107.3537292,10.7353735,246.9135742,59.04455185,1863.0000979954018
123,Brookhaven-Amesbury,30,2019,560.1195068,197.3754425,21.3378849,266.7235718,0,122.6928406,42.67576981,272.05804440000003,64.01365662,1874.5999509974577
123,Brookhaven-Amesbury,30,2020,501.6543884,298.8579407,5.336749077,176.1127167,0,85.38798523,5.336749077,325.541687,53.36748886,1873.8000139858839
123,Brookhaven-Amesbury,30,2021,740.62146,262.9743042,37.56775665,134.1705627,16.10046768,80.50233459,26.83411217,252.2406464,26.83411217,1863.3000453430016
123,Brookhaven-Amesbury,30,2022,851.5424194,364.1816711,21.34699541,107.1122513,10.71122551,64.26734924,26.77806282,266.8374426,42.84490204,1867.1999935368106
123,Brookhaven-Amesbury,30,2023,885.9003296,394.9194031,26.68374443,208.1332092,NA,160.1024628,NA,288.1844482,48.03073883,1873.7999575522451
124,Maple Leaf,29,2014,205.2384644,68.41281891,0,136.8256378,NA,87.95934296,0,117.2791214,NA,1023.2000157179115
124,Maple Leaf,29,2015,304.4588623,176.7825623,9.821252823,127.6762924,NA,29.46376038,19.64250565,176.7825623,39.28501129,1018.1999553507494
124,Maple Leaf,29,2016,413.6708374,147.7395782,0,177.2875061,NA,78.79444122,0,128.0409698,NA,1015.2999970696026
124,Maple Leaf,29,2017,175.5241394,78.01072693,19.50268173,97.51340485,NA,19.50268173,9.751340866,58.5080452,19.50268173,1025.4999717719738
124,Maple Leaf,29,2018,259.7902527,125.0841904,9.621860504,67.35302734,NA,57.73116684,19.24372101,317.5214233,38.48744202,1039.299962927362
124,Maple Leaf,29,2019,266.3369141,237.8008118,0,142.6804962,NA,38.04813004,9.512032509,171.2165833,28.53609848,1051.3000082852577
124,Maple Leaf,29,2020,265.579071,170.7294006,18.96993256,94.84966278,NA,18.96993256,9.484966278,294.0339661,18.96993256,1054.2999451941
124,Maple Leaf,29,2021,304.5298767,123.7152634,9.516558647,95.16558838,NA,9.516558647,19.03311729,180.814621,28.5496769,1050.8000182696032
124,Maple Leaf,29,2022,483.0002747,445.1179199,0,198.8824768,NA,47.35297012,9.470593452,179.6690307,28.41178131,1055.900020588539
124,Maple Leaf,29,2023,472.8132324,463.3569641,NA,160.7565002,NA,47.28132248,9.456264496,160.7565002,9.456264496,1057.5000142487552
125,Rustic,28,2014,524.4927979,69.27263641,0,207.8179169,0,138.5452728,49.48045349,197.921814,9.896091461,1010.5000528549679
125,Rustic,28,2015,656.1940918,188.9043579,19.88466835,169.0196838,9.942334175,159.0773468,69.59634399,139.192688,9.942334175,1005.7999732816247
125,Rustic,28,2016,737.6395264,99.68102264,29.90430641,169.4577332,0,59.80861282,89.71292114,79.74481964,29.90430641,1003.2000367598522
125,Rustic,28,2017,631.4750977,108.5347824,0,118.4015808,0,39.4671936,29.6003952,177.6023712,9.866798401,1013.4999817586631
125,Rustic,28,2018,702.2335205,146.298645,0,87.77919006,0,78.02593994,78.02593994,458.4024048,19.50648499,1025.2999593174504
125,Rustic,28,2019,618.8956299,367.4692993,19.34048843,135.3834229,9.670244217,29.01073456,67.69171143,251.4263611,9.670244217,1034.1000470522147
125,Rustic,28,2020,579.4862061,212.4782715,48.2905159,144.8715515,0,77.26482391,57.94861984,338.0335999,38.63241196,1035.3999692901405
125,Rustic,28,2021,601.3579102,155.1891327,0,67.89524841,19.39864159,58.19592667,67.89524841,126.0911713,NA,1030.9999909933836
125,Rustic,28,2022,705.5866699,338.2949829,9.611687812,96.65571594,0,38.66228485,9.665571213,240.2921953,48.32785797,1034.600044390663
125,Rustic,28,2023,855.4401855,326.7973938,NA,182.6220703,NA,19.22337532,28.83506393,134.5636292,19.22337532,1040.400036245433
126,York University Heights,27,2014,940.2866211,374.7267761,52.04538345,374.7267761,3.46969223,204.7118378,6.93938446,489.226593,104.0907669,2882.099924839609
126,York University Heights,27,2015,1025.748413,348.8940125,94.20137787,488.4515991,0,296.559906,3.488940001,425.6506958,160.4912415,2866.1999012032593
